feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,target
3.171227301682962,-1.7977071245647251,-1.0469164305835823,-0.8088170552510057,-1.6632112414233633,1.3328566898562888,2.271552475498132,-0.7486178735096893,-1.9139849040603283,0.2108344997591779,1.0,12.936987795502807,11.457947254545939,17.40534845213685,19.666001219397792,19.967365086450098,12.807626913312522,10.071627172845654,19.488972099979392,14.888301149235085,16.586164177174663,0
1.0769903779536794,,0.3098695671731275,-5.375669580034645,1.0193143839645422,0.5487590340024548,1.9644422916165596,-2.4340614295365652,-3.8285850014634173,1.171995075387474,1.0,14.889796895322988,10.328887309882983,17.52934448828939,,13.97527213319119,,13.141567739467632,15.631725489778484,10.350200153303685,12.150153938934036,0
,,1.0444829575318557,-0.17747908875683738,,-0.24829045630054192,,0.5115835691981307,,0.6338498089938475,1.0,10.218867672929806,17.090725889828377,14.42336644092602,,10.173020054278778,16.762352860756778,,19.54821802659911,13.853787303147556,19.403366132161917,0
1.4718878546011345,3.4041525296219106,0.700389251244167,0.32088574982982254,2.4486549881991913,,0.3481507254818448,,-2.413591318515035,-2.076710505664731,1.0,19.56267344782873,15.483405391964107,18.005033233348634,18.780193463709587,18.61973119997092,10.65359522706178,18.61187707488852,18.982033142476325,16.849924996858736,10.105378485586026,1
,,,,,0.1447755006585899,-0.6178748986011562,-1.2573192113878597,-0.9859105275276675,,1.0,16.090070657916844,16.73628426403099,,16.549380491525667,,14.80125415470942,12.883822824283733,,15.858442818179057,,1
,1.9732378108862763,-1.1996305145311457,-0.6008809286260164,-0.08557396652606541,1.1345063381425582,2.27840155999798,,-2.2526214270119658,0.8716827646246944,,15.005624167126847,14.295799275911211,16.788931074394725,,14.345260645961648,19.03105758804987,11.061288814744985,10.453183632378495,17.642515701493533,10.550777875325503,0
0.03508278255740027,-1.8611323104964599,0.7474485485485052,-0.5798624357118686,,,0.86014829380465,-0.7384519441350871,-0.11373087194362697,-1.9458363788127293,1.0,10.24984433178321,15.765988136323834,13.328261316174302,15.141033367779755,,18.488680480202927,12.158357326854436,18.018564958995793,12.168167637350976,,0
0.37691349903708904,-0.8025763757794964,-2.1253197067501897,-1.043582396159774,2.9072876592150427,-3.156221548975429,2.304573722598476,1.0231920365649372,2.1046649980587446,-2.321355451436916,1.0,16.674560297657237,19.138331200795765,12.263039609915289,16.320049111812153,16.90252767836589,,14.000060791973242,14.07778821622114,,18.972334690558352,0
0.11503380300080523,-0.24169753991942167,1.1857663571839119,0.4040042811038347,-0.38604560875318294,-1.1058945843831245,0.24444586823876924,-0.2448080614810787,,-1.5591049110416506,1.0,15.779395180642322,12.02745276064866,18.415378254278508,12.928504577111982,,16.198928744601076,10.97738477655419,11.334829316310792,,11.190689968274135,1
-2.370075767223879,,1.9241913206863552,0.5431330000208321,,,-0.23439748635495627,-0.25693623523768294,-1.3979939028775878,-3.056495065904974,1.0,,13.981145374509651,12.1975407367489,16.02736706813797,19.401519645216432,13.25938893295114,10.206874378941635,12.700834651686277,15.460301393047118,11.490045477981543,1
